Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000024,E12000009,2,Not quit,50
2018/19,E06000024,E12000009,2,Quit,150
2018/19,E06000024,E12000009,2,Quit CO,134
2018/19,E06000024,E12000009,2,Set quit date,337
2018/19,E06000024,E12000009,3,Not known,137
2018/19,E06000024,E12000009,3,Not quit,56
2018/19,E06000024,E12000009,3,Quit,132
2018/19,E06000024,E12000009,3,Quit CO,107
2018/19,E06000024,E12000009,3,Set quit date,325
2018/19,E06000024,E12000009,4,Not known,147
2018/19,E06000024,E12000009,4,Not quit,69
2018/19,E06000024,E12000009,4,Quit,198
2018/19,E06000024,E12000009,4,Quit CO,155
2018/19,E06000024,E12000009,4,Set quit date,414
2018/19,E06000025,E12000009,1,Not known,108
2018/19,E06000025,E12000009,1,Not quit,74
2018/19,E06000025,E12000009,1,Quit,83
2018/19,E06000025,E12000009,1,Quit CO,72
2018/19,E06000025,E12000009,1,Set quit date,265
2018/19,E06000025,E12000009,2,Not known,105
2018/19,E06000025,E12000009,2,Not quit,77
2018/19,E06000025,E12000009,2,Quit,71
2018/19,E06000025,E12000009,2,Quit CO,61
2018/19,E06000025,E12000009,2,Set quit date,253
2018/19,E06000025,E12000009,3,Not known,121
2018/19,E06000025,E12000009,3,Not quit,67
2018/19,E06000025,E12000009,3,Quit,91
2018/19,E06000025,E12000009,3,Quit CO,62
2018/19,E06000025,E12000009,3,Set quit date,279
2018/19,E06000025,E12000009,4,Not known,133
2018/19,E06000025,E12000009,4,Not quit,75
2018/19,E06000025,E12000009,4,Quit,101
2018/19,E06000025,E12000009,4,Quit CO,75
2018/19,E06000025,E12000009,4,Set quit date,309
2018/19,E06000026,E12000009,1,Not known,101
2018/19,E06000026,E12000009,1,Not quit,94
2018/19,E06000026,E12000009,1,Quit,167
2018/19,E06000026,E12000009,1,Quit CO,150
2018/19,E06000026,E12000009,1,Set quit date,362
2018/19,E06000026,E12000009,2,Not known,119
2018/19,E06000026,E12000009,2,Not quit,100
2018/19,E06000026,E12000009,2,Quit,155
2018/19,E06000026,E12000009,2,Quit CO,142
2018/19,E06000026,E12000009,2,Set quit date,374
2018/19,E06000026,E12000009,3,Not known,136
2018/19,E06000026,E12000009,3,Not quit,89
2018/19,E06000026,E12000009,3,Quit,152
2018/19,E06000026,E12000009,3,Quit CO,138
2018/19,E06000026,E12000009,3,Set quit date,377
2018/19,E06000026,E12000009,4,Not known,94
2018/19,E06000026,E12000009,4,Not quit,132
2018/19,E06000026,E12000009,4,Quit,167
2018/19,E06000026,E12000009,4,Quit CO,153
2018/19,E06000026,E12000009,4,Set quit date,393
2018/19,E06000027,E12000009,1,Not known,58
2018/19,E06000027,E12000009,1,Not quit,28
2018/19,E06000027,E12000009,1,Quit,75
2018/19,E06000027,E12000009,1,Quit CO,36
2018/19,E06000027,E12000009,1,Set quit date,161
2018/19,E06000027,E12000009,2,Not known,34
2018/19,E06000027,E12000009,2,Not quit,29
2018/19,E06000027,E12000009,2,Quit,75
2018/19,E06000027,E12000009,2,Quit CO,39
2018/19,E06000027,E12000009,2,Set quit date,138
2018/19,E06000027,E12000009,3,Not known,43
2018/19,E06000027,E12000009,3,Not quit,27
2018/19,E06000027,E12000009,3,Quit,69
2018/19,E06000027,E12000009,3,Quit CO,41
2018/19,E06000027,E12000009,3,Set quit date,139
2018/19,E06000027,E12000009,4,Not known,43
2018/19,E06000027,E12000009,4,Not quit,24
2018/19,E06000027,E12000009,4,Quit,81
2018/19,E06000027,E12000009,4,Quit CO,44
2018/19,E06000027,E12000009,4,Set quit date,148
2018/19,E06000028,E12000009,1,Not known,55
2018/19,E06000028,E12000009,1,Not quit,76
2018/19,E06000028,E12000009,1,Quit,101
2018/19,E06000028,E12000009,1,Quit CO,0
2018/19,E06000028,E12000009,1,Set quit date,232
2018/19,E06000028,E12000009,2,Not known,69
2018/19,E06000028,E12000009,2,Not quit,43
2018/19,E06000028,E12000009,2,Quit,72
2018/19,E06000028,E12000009,2,Quit CO,1
2018/19,E06000028,E12000009,2,Set quit date,184
2018/19,E06000028,E12000009,3,Not known,127
2018/19,E06000028,E12000009,3,Not quit,44
2018/19,E06000028,E12000009,3,Quit,76
2018/19,E06000028,E12000009,3,Quit CO,13
2018/19,E06000028,E12000009,3,Set quit date,247
2018/19,E06000028,E12000009,4,Not known,122
2018/19,E06000028,E12000009,4,Not quit,31
2018/19,E06000028,E12000009,4,Quit,101
2018/19,E06000028,E12000009,4,Quit CO,12
2018/19,E06000028,E12000009,4,Set quit date,254
2018/19,E06000029,E12000009,1,Not known,42
2018/19,E06000029,E12000009,1,Not quit,44
2018/19,E06000029,E12000009,1,Quit,103
2018/19,E06000029,E12000009,1,Quit CO,0
2018/19,E06000029,E12000009,1,Set quit date,189
2018/19,E06000029,E12000009,2,Not known,30
2018/19,E06000029,E12000009,2,Not quit,22
2018/19,E06000029,E12000009,2,Quit,42
2018/19,E06000029,E12000009,2,Quit CO,4
2018/19,E06000029,E12000009,2,Set quit date,94
2018/19,E06000029,E12000009,3,Not known,77
2018/19,E06000029,E12000009,3,Not quit,16
2018/19,E06000029,E12000009,3,Quit,64
2018/19,E06000029,E12000009,3,Quit CO,23
2018/19,E06000029,E12000009,3,Set quit date,157
2018/19,E06000029,E12000009,4,Not known,47
2018/19,E06000029,E12000009,4,Not quit,50
2018/19,E06000029,E12000009,4,Quit,74
2018/19,E06000029,E12000009,4,Quit CO,7
2018/19,E06000029,E12000009,4,Set quit date,171
2018/19,E06000030,E12000009,1,Not known,80
2018/19,E06000030,E12000009,1,Not quit,119
2018/19,E06000030,E12000009,1,Quit,72
2018/19,E06000030,E12000009,1,Quit CO,54
2018/19,E06000030,E12000009,1,Set quit date,271
2018/19,E06000030,E12000009,2,Not known,66
2018/19,E06000030,E12000009,2,Not quit,76
2018/19,E06000030,E12000009,2,Quit,97
2018/19,E06000030,E12000009,2,Quit CO,70
2018/19,E06000030,E12000009,2,Set quit date,239
2018/19,E06000030,E12000009,3,Not known,85
2018/19,E06000030,E12000009,3,Not quit,75
2018/19,E06000030,E12000009,3,Quit,53
2018/19,E06000030,E12000009,3,Quit CO,41
2018/19,E06000030,E12000009,3,Set quit date,213
2018/19,E06000030,E12000009,4,Not known,84
2018/19,E06000030,E12000009,4,Not quit,115
2018/19,E06000030,E12000009,4,Quit,82
2018/19,E06000030,E12000009,4,Quit CO,62
2018/19,E06000030,E12000009,4,Set quit date,281
2018/19,E06000031,E12000006,1,Not known,155
2018/19,E06000031,E12000006,1,Not quit,48
